fen,result
r1bq1rk1/p3ppbp/2np2p1/2p1P3/5Pn1/2NB1N2/PPP3PP/R2QK1BR w KQ - 3 11,1.0
r1b1k2r/ppq1ppbp/6p1/n1p5/3P4/2P2NP1/P3PPBP/R1BQK2R w KQkq - 5 11,1.0
r1bqnrk1/ppp1n1bp/3p2p1/3Ppp2/PPP1P3/2N2N2/4BPPP/R1BQ1RK1 w - - 0 11,0.0
r1b1kb1r/5ppp/p1p1pn2/3p4/4P3/2N3P1/PPP1BPP1/R1B1K2R w KQkq - 0 11,1.0
r3kb1r/ppqn1ppp/4pn2/8/3N4/5N2/PPP2PPP/R1BQK2R w KQkq - 1 11,0.0
r1bq1rk1/1p2bpp1/p1n1pn1p/3p4/3P1B2/2NBPN1P/PP3PP1/2RQK2R w K - 2 11,1.0
r3k2r/bppq1pp1/p1npbn1p/4p3/1P2P3/2PP1N1P/P1BN1PP1/R1BQK2R w KQkq - 4 11,0.5
r1bqr1k1/pp2bppp/2pp1n2/4n3/P2NP3/2N5/BPP2PPP/R1BQR1K1 w - - 3 11,0.5
r1bq3r/ppp2k1p/2n3p1/2Q5/3pp3/2P5/PP3PPP/RNB1K2R w KQ - 0 11,1.0
r2qkb1r/p2b1ppp/2n1p3/1p1n4/P1pP4/2Q2NP1/1P2PPBP/RNB2RK1 w kq - 1 11,1.0
rn1qrbk1/pbp2ppp/1p3n2/3p4/3P4/2NBP3/PP1BNPPP/2RQ1RK1 w - - 4 11,1.0
r1b1k2r/pp1n1ppp/4pn2/2P3q1/1P6/2BB1Q2/P1P2P1P/R3K1NR w KQkq - 2 11,1.0
r1bqr1k1/pppn1pp1/4pb1p/6B1/3P3P/3B1N2/PPP1QPP1/R3K2R w KQ - 2 11,1.0
r1b2rk1/pp2qpbp/n1pp1np1/8/2PNP3/2N1B3/PPQ1BPPP/R4RK1 w - - 0 11,0.5
r1bq1rk1/4bppp/p2p1n2/npp1p3/4P3/2PP1N1P/PPB2PP1/RNBQ1RK1 w - - 0 11,1.0
rn1q1rk1/pp2bppp/4pnb1/2p1N3/4p1P1/3P3P/PPPN1PB1/R1BQ1RK1 w - - 0 11,0.5
r4rk1/p1q2ppp/np1bpn2/2ppN3/3P1B1P/2P1P3/PP1N1PP1/R2QK2R w KQ - 0 11,1.0
r1bqk2r/1p2ppbp/2p2np1/p7/8/5NP1/PPQPPPBP/R1B2RK1 w kq - 0 11,0.0
1rbqk2r/b1p2ppp/p1np1n2/Pp2p3/3PP3/1BP2N2/1P3PPP/RNBQ1RK1 w k - 1 11,1.0
r2q1rk1/pb1nppbp/3p1np1/1p6/3pP3/1P3NP1/PBPN1PBP/R2QR1K1 w - - 0 11,0.0
r2qk2r/1ppn1ppp/p1p2b2/4p3/4P3/3P2QP/PPP2PP1/RNB2RK1 w kq - 3 11,0.5
r1b1k2r/1pp1bppp/p3pn2/8/2N5/5BP1/PP2PP1P/R1BR2K1 w kq - 1 11,1.0
r2q1rk1/1b1nbppp/pppp1n2/3Pp3/P1B1P3/2N2N1P/1PP2PP1/R1BQR1K1 w - - 1 11,1.0
r2qkb1r/pp1n2pp/2p1p1n1/3p1b2/3Pp1P1/2P5/PP1NBP1P/R1BQNRK1 w kq - 0 11,1.0
rnbqnrk1/1p3pbp/p2p2p1/2pP4/P4B2/2N1PN1P/1P3PP1/R2QKB1R w KQ - 1 11,0.0
rnb1r1k1/ppppqppp/5n2/2P5/2PP4/5N2/P3BPPP/R1BQK2R w KQ - 1 11,1.0
r1bq1rk1/1p3pbp/n1p2pp1/p7/3P4/2PB1N1P/PP3PP1/R1BQ1RK1 w - - 1 11,0.5
r3kb1r/ppp1qppp/4b3/8/2pQN3/8/PPP2PPP/R1B2RK1 w kq - 1 11,1.0
r1bq1rk1/1p1nbppp/2p1p3/p2p4/2PPn3/N4NP1/PPQBPPBP/2R2RK1 w - - 2 11,0.5
r1bq1rk1/pp2ppbp/6p1/1BpPn3/4P3/2P2N2/P4PPP/1RBQK2R w K - 1 11,1.0
1n1q1rk1/rp2bppp/p1p1pn2/P4b2/2BP4/1QN1PN2/1P3PPP/R1B2RK1 w - - 4 11,0.5
r2qk2r/2p2ppp/pbnp1n2/1p6/3pP1b1/1BP1BN2/PP1N1PPP/R2Q1RK1 w kq - 0 11,1.0
