fen,score_cp
"1Q3bk1/1pN1qp2/5np1/P2p4/r7/5NP1/5PP1/3R2K1 b - - 2 36",66
"1Q3k2/1p2q3/pP2Bnp1/5p1p/5P2/7P/6PK/8 b - - 5 47",13
"1Q3k2/8/2q2pp1/2P5/3K4/8/8/8 b - - 1 86",43
"1Q4R1/4r3/p1kq3p/1p6/1P2pP2/P3p3/3PB3/3K4 w - - 2 41",490
"1Q4k1/1p2qpb1/2r2np1/1N1p2N1/P7/6P1/5PP1/3R2K1 b - - 7 33",87
"1Q4k1/3q1p2/6p1/2P3K1/5P2/8/8/8 b - - 40 70",7
"1Q6/2p3k1/3q2pp/2pPpb1B/2P5/8/6P1/5RK1 w - - 0 37",460
"1Q6/2q2ppk/2P1p2p/p7/8/P7/1PR5/1K6 b - - 0 41",155
"1Q6/4k3/2q2pp1/2P5/3K4/8/8/8 w - - 2 87",675
"1Q6/3q1pk1/6p1/2P3K1/5P2/8/8/8 w - - 41 71",17
"1Q6/5r1p/2p1k1p1/p2pn3/P6P/2K5/1P6/8 w - - 0 48",47
"1Q6/5kp1/2p5/1p1b1Pq1/p1pB2P1/P1P3K1/1P6/8 w - - 9 56",841
"1Q6/5r1p/2p1nkp1/p2p4/P1n3BP/2K5/1P6/8 b - - 19 46",19
"1Q6/5r1p/2p1nkp1/p2pn3/P5BP/2K5/1P6/8 w - - 20 47",112
"1Q6/5rkp/2p1n1p1/p2p4/P1nK3P/8/1P6/3B4 w - - 16 45",10
"1Q6/5r1p/2p1nkp1/p2p4/P1n4P/2K5/1P6/3B4 w - - 18 46",77
"1Q6/5rkp/2p1n1p1/p2p4/P3n2P/8/1P4K1/3B4 b - - 9 41",109
"1Q6/5rkp/2p3p1/p2p4/P1n2n1P/4K3/1P6/3B4 w - - 14 44",39
"1Q6/5rkp/2p3p1/p2p4/P3nn1P/5K2/1P6/3B4 b - - 11 42",7
"1Q6/5rkp/2p3p1/p2p4/P4n1P/4K3/1P1n4/3B4 b - - 13 43",10
"1Q6/6pk/2p3q1/1p1b4/p1pB1PP1/P1P3K1/1P6/8 w - - 3 45",103
"1Q6/5rkp/2p3p1/p2p4/P4n1P/5K2/1P1n4/3B4 w - - 12 43",43
"1Q6/5rkp/2p3p1/p2p4/P3nn1P/8/1P4K1/3B4 w - - 10 42",0
"1Q6/7k/6p1/1P5p/4qP1P/6P1/5PK1/8 w - - 1 48",476
"1Q6/7k/6p1/1P5p/5P1P/6P1/4qP1K/8 w - - 3 49",505
"1Q6/6pk/2p4p/pp1b1q2/2pB4/P1P2P1P/1P4PK/8 w - - 0 38",45
"1Q6/7p/2p1k1p1/p2p4/P6P/1P3n2/5r2/1K6 w - - 9 57",75
