fen,score_cp
"3r2k1/4rpp1/2nN1n1p/pq2p3/4P3/P5PP/1P3PB1/3RR1K1 w - - 0 32",119
"3r2k1/5nb1/1p5p/p1p2p2/P1N2Pp1/2P3PP/1P2K3/R1B5 w - - 0 27",151
"3r2k1/5nb1/1p5p/p1p2pp1/P4P2/N1P3PP/1P2K3/R1B5 w - - 1 26",77
"3r2k1/5nb1/1p5p/p1p5/P1N2Pp1/2P3P1/1P2K3/R1B5 w - - 0 28",190
"3r2k1/5p1p/6p1/8/7P/5qP1/Q4P2/2R3K1 b - - 4 42",2
"3r2k1/5p1p/p3b1p1/B7/Pp6/1Pb4P/2B2PP1/6K1 w - - 0 33",4
"3r2k1/5p2/6p1/P2B2q1/1p6/2bQ4/P7/1K1R4 b - - 3 47",178
"3r2k1/5p2/6p1/P2B2q1/1p6/2bQ4/P7/1K3R2 w - - 2 47",11
"3r2k1/5p2/pR4p1/P1n1n1Pp/2bN3P/2NBP3/2PK4/8 w - - 3 30",109
"3r2k1/5p2/pR4p1/P3n1Pp/2bN3P/3BP3/2PK4/8 w - - 3 33",296
"3r2k1/5p2/pR4p1/P3n1Pp/2bNn2P/3BP3/2PK4/8 w - - 0 31",177
"3r2k1/5p2/pR4p1/Pb2n1Pp/3NB2P/4P3/2PK4/8 w - - 1 32",268
"3r2k1/5pb1/1p2p2p/p1p1n1p1/P3P3/N1P3PP/1P3P2/R1B2K2 w - - 0 23",66
"3r2k1/5pb1/1pn1p2p/p1p1N1p1/P3P3/N1P3PP/1P3P2/R1B2K2 b - - 0 22",44
"3r2k1/5pb1/1pn1p2p/p1p1n1p1/P3P3/N1P2NPP/1P3P2/R1B2K2 w - - 0 22",43
"3r2k1/5pp1/2N4p/8/8/6P1/4bP1P/4R1K1 b - - 0 26",1
"3r2k1/5pp1/2q4p/8/3N4/6P1/4bP1P/4R1K1 w - - 0 26",0
"3r2k1/5pp1/4p2p/pQ5P/5q2/P7/1PP3P1/1K2R3 b - - 0 30",43
"3r2k1/5pp1/4p2p/pp5P/2q2P2/P7/1PP1Q1P1/1K2R3 b - - 1 29",39
"3r2k1/5pp1/4p2p/pp5P/5q2/P7/1PP1Q1P1/1K2R3 w - - 0 30",3
"3r2k1/5pp1/p2rpq1p/1pRnN3/3PQ3/P5P1/1P3P1P/2R3K1 w - - 3 26",53
"3r2k1/5pp1/pn2p2p/1p2N3/3P4/P5P1/1P3P1P/2R3K1 w - - 0 33",21
"3r2k1/5ppp/1Qqr4/p3P3/Pp6/1P2BbP1/2P4P/5RK1 w - - 0 31",163
"3r2k1/5ppp/1q1P4/p7/Pp6/1P2BbP1/2P4P/5RK1 w - - 0 32",205
"3r2k1/5ppp/Q2b2b1/1p4B1/8/2qP4/P1B2PPP/5NK1 b - - 2 23",359
"3r2k1/5ppp/Q2b2b1/1p6/8/3PB3/P1B2PPP/q4NK1 b - - 0 22",376
"3r2k1/6b1/1p1n3p/p1p5/P1N2Pp1/2P1B1P1/1P2K3/R7 w - - 2 29",192
"3r2k1/6b1/1p2p2p/p1p1nPp1/P7/N1P3PP/1P2KP2/R1B5 b - - 0 24",2
"3r2k1/6b1/1p2p2p/p1p1npp1/P3P3/N1P3PP/1P2KP2/R1B5 w - - 0 24",57
"3r2k1/6b1/1p5p/p1p1npp1/P7/N1P3PP/1P2KP2/R1B5 w - - 0 25",44
"3r2k1/6p1/1R3pbp/p7/4NB1P/b4PP1/6K1/8 b - - 0 30",283
"3r2k1/6p1/1p3pbp/p2p4/3bPB1P/P4PP1/1P1N2K1/2R5 b - - 0 27",240
"3r2k1/6p1/1p3pbp/p7/3bNB1P/P4PP1/1P4K1/2R5 b - - 0 28",224
"3r2k1/6p1/1pR2pbp/p7/4NB1P/P4PP1/1b4K1/8 b - - 1 29",273
"3r2k1/6pp/2p1bp2/p3p3/n7/P3B1P1/1PN1PP1P/2R3K1 b - - 1 22",99
"3r2k1/6pp/4bp2/p1p1p3/n7/P3B1P1/1PN1PP1P/2R2K2 b - - 1 23",59
"3r2k1/6pp/4bp2/p3p3/n1p5/P3B1P1/1PN1PP1P/2R1K3 b - - 1 24",49
"3r2k1/6pp/Q2b1pb1/1p4B1/8/1BqP4/P4PPP/5NK1 b - - 1 24",383
"3r2k1/6pp/Q2b1pb1/1p4B1/8/2qP4/P1B2PPP/5NK1 w - - 0 24",228
"3r2k1/Q3bppp/8/8/2b1P3/6P1/5P1P/6K1 w - - 0 34",222
"3r2k1/Qb1qppbp/6p1/1N2p3/N4P2/1P5P/P1Pn2P1/2KRR3 w - - 4 29",291
"3r2k1/Qb2ppbp/1N1p2p1/4P3/3N1P2/1Pq4P/P1Pn2P1/2KRR3 b - - 4 26",123
"3r2k1/Qb2ppbp/1N1p2p1/4P3/3NnP2/1Pq4P/P1P3P1/2KRR3 w - - 1 25",17
"3r2k1/Qb2ppbp/1N4p1/4p3/3N1P2/1Pq4P/P1Pn2P1/2KRR3 w - - 0 27",29
"3r2k1/Qb2ppbp/6p1/4p3/N2N1P2/1Pq4P/P1Pn2P1/2KRR3 b - - 1 27",29
"3r2k1/Qbq1ppbp/6p1/4p3/N2N1P2/1P5P/P1Pn2P1/2KRR3 w - - 2 28",277
"3r2k1/bp3pp1/2q4p/3b4/1P4P1/7P/1BB1QP2/1K2R3 b - - 2 29",22
"3r2k1/bp3pp1/2q4p/3bB3/1P4P1/7P/2B1QP2/1K2R3 w - - 1 29",6
"3r2k1/bpp1npp1/p2qrn1p/1P1pp3/P3P3/2PP1N1P/2Q2PP1/1RB1RNK1 w - - 1 17",46
"3r2k1/bpp2pp1/p1nqrn1p/3pp3/PP2P3/2PP1N1P/2Q2PP1/1RB1RNK1 w - - 4 16",25
"3r2k1/bpq2pp1/4b1np/3Pp3/1P4P1/5N1P/1BB1QP2/1K2R3 b - - 0 26",104
"3r2k1/bpq2pp1/4bnnp/3Np3/1P2P1P1/5N1P/1BB1QP2/1K2R3 b - - 1 25",142
"3r2k1/bpq2pp1/6np/3bN3/1P4P1/7P/1BB1QP2/1K2R3 b - - 0 27",91
"3r2k1/bpq2pp1/7p/3bB3/1P4P1/7P/2B1QP2/1K2R3 b - - 0 28",19
"3r2k1/p1R2pp1/1p4b1/2b4p/5B2/1P3P2/P5PP/4NK2 b - - 3 29",153
"3r2k1/p1R2pp1/1p4b1/7p/5B2/bP3P2/P4KPP/4N3 b - - 1 28",112
"3r2k1/p1n1R1p1/1p3nBp/2r5/3p4/1P1Q2P1/PB3P1P/6K1 w - - 0 35",545
"3r2k1/p1n1R1p1/1pr2nBp/8/1P1p4/3Q2P1/PB3P1P/6K1 w - - 1 36",610
"3r2k1/p1p1qp1p/br3bp1/1p1B4/1Np5/1P2B1P1/P4P1P/1N1R1QK1 b - - 0 21",371
"3r2k1/p1p1qp1p/brn2bp1/1p1B4/2p5/1P2B1P1/P1N2P1P/1N1R1QK1 b - - 3 20",348
"3r2k1/p1p2p1p/bB3bp1/1p1B4/1qp5/1P4P1/P4P1P/1N1R1QK1 b - - 0 22",381
"3r2k1/p1p2p2/6p1/4b3/6r1/1P2B1PK/P4R2/6R1 b - - 3 27",112
"3r2k1/p1p5/6p1/4bp2/5Br1/1P4PK/P4R2/6R1 b - - 1 28",119
"3r2k1/p1q1bp1p/1N4p1/2p4n/2Q5/6P1/PP3PKP/R1BN4 b - - 0 21",143
"3r2k1/p1q2pp1/1p2bn1p/8/2Pr4/QP1pR1PP/P2N1PB1/4R1K1 b - - 0 27",55
"3r2k1/p1q2ppp/4p1n1/1pP5/QP2B3/P5P1/5P1P/2R3K1 w - - 0 31",323
"3r2k1/p1qQ1ppp/Pp1bP1n1/2p4r/R7/2P2NP1/1P3PK1/2BR4 w - - 3 27",368
"3r2k1/p2r2n1/1pb2p2/2p1pPp1/2P3P1/R3B2P/P1P1BK2/4R3 b - - 0 34",91
"3r2k1/p2r2n1/1pb2p2/2p1pPp1/2P5/R3B1PP/P1P1BK2/4R3 w - - 3 34",39
"3r2k1/p2r2p1/1pb2p2/2p1pPp1/2P1Pn2/R3B2P/P1P2KP1/4RB2 b - - 7 30",35
"3r2k1/p2r4/1pb2p2/2p1pPpn/2P5/R3B1PP/P1P1BK2/4R3 b - - 2 33",69
"3r2k1/p2r4/1pb2p2/2p1pPpn/2P5/R3B1PP/P1P2K2/4RB2 w - - 1 33",72
"3r2k1/p2r4/1pb2p2/2p1ppp1/2P1Pn2/R3B1PP/P1P2K2/4RB2 w - - 0 32",33
"3r2k1/p2r4/1pb2pp1/2p1pPp1/2P1Pn2/R3B1PP/P1P2K2/4RB2 b - - 0 31",47
"3r2k1/p2r4/1pbn1p2/2p1pPp1/2P3P1/R3K2P/P1P1B3/2B1R3 b - - 4 36",157
"3r2k1/p3R1p1/1b1r1p1p/1p6/7P/P1Bn1P2/1PB2P2/3R1K2 w - - 3 40",82
"3r2k1/p3R1p1/1b1r1p1p/1p6/7P/P1Bn1P2/1PBR1P2/5K2 b - - 4 40",23
"3r2k1/p3bp2/1p3np1/P1p4p/8/2B1PB2/1P3PPP/2R2K2 w - - 0 28",49
"3r2k1/p3bp2/1p4p1/P1p4p/4P1n1/2B2B1P/1P3PP1/2R2K2 b - - 0 29",13
"3r2k1/p3bp2/1p4p1/P1p4p/4P1n1/2B2B2/1P3PPP/2R2K2 w - - 1 29",7
"3r2k1/p3bp2/1p4p1/P1p4p/4P3/2B2B1P/1P2KPPn/2R5 b - - 2 30",39
"3r2k1/p3bp2/1p4p1/P1p4p/4P3/2B2K1P/1P3PP1/2R5 b - - 0 31",48
"3r2k1/p3bp2/P5p1/1pp4p/4P3/2B2K1P/1P3PP1/2R5 b - - 0 32",7
"3r2k1/p3bpp1/1p3n2/P1p4p/8/2B1PB2/1P3PPP/2R3K1 w - - 2 27",69
"3r2k1/p3pp1p/2B3pb/8/P2P4/4P1P1/2rq1PQP/R4RK1 w - - 3 22",120
"3r2k1/p3ppbp/2B3p1/8/3P4/4P1PQ/Pr1q1P1P/R4RK1 w - - 1 20",73
"3r2k1/p3ppbp/2B3p1/8/P2P4/4P1PQ/1r1q1P1P/R4RK1 b - - 0 20",77
"3r2k1/p3ppbp/2B3p1/8/P2P4/4P1PQ/2rq1P1P/R4RK1 w - - 1 21",103
"3r2k1/p3qp1p/3pp1p1/2n5/2P1b3/6P1/PQ2PPBP/3RN1K1 w - - 4 21",4
"3r2k1/p3qp1p/3pp1p1/2n5/2PQb3/6P1/P3PPBP/3RN1K1 b - - 5 21",9
"3r2k1/p4p1p/1q1b2p1/4n3/4P3/1P1p3B/PB3P1P/3Q1R1K b - - 3 26",80
"3r2k1/p4p1p/2Q3p1/8/1q2PP2/1P5B/Pb5P/5R1K b - - 0 30",18
"3r2k1/p4p1p/2n3p1/4b3/1q2PP2/1P5B/PBQ4P/5R1K b - - 2 29",32
"3r2k1/p4p1p/2nb2p1/8/1q2PP2/1P1Q3B/PB5P/5R1K b - - 0 28",10
"3r2k1/p4p1p/2nb2p1/8/1q2PP2/1P1p3B/PB5P/3Q1R1K w - - 1 28",84
"3r2k1/p4p1p/3b2p1/4n3/1q2PP2/1P1p3B/PB5P/3Q1R1K b - - 0 27",58
"3r2k1/p4pbp/1p2p1p1/P7/1P6/2p1BPP1/2R2P1P/3R2K1 b - - 0 27",206
"3r2k1/p4pbp/1p2p1p1/P7/1P6/2prBPP1/2R2P1P/1R4K1 b - - 0 26",237
"3r2k1/p4pp1/1p2bn1p/8/2P1p3/4B2P/PP2BPP1/R5K1 w - - 0 25",116
"3r2k1/p4ppp/4p1n1/1QP1q3/1P2B3/P5P1/5P1P/2R3K1 w - - 1 32",300
"3r2k1/p6r/1pbn1p2/2p1pPp1/2P3P1/R3K2P/P1P5/2B1RB2 b - - 6 37",141
"3r2k1/pb3pp1/6p1/2R5/P3P3/5NP1/1r4P1/4R1K1 b - - 0 29",37
"3r2k1/pbq1bpp1/2p1pn1p/2P5/8/PP3NP1/1BQ2PBP/3R2K1 w - - 1 20",128
"3r2k1/pp1R1pp1/1q2p2p/8/PbP5/5N1P/1PQ2PP1/4R1K1 b - - 0 26",33
"3r2k1/pp1r1pp1/1q1bp2p/3n4/P1P5/5N1P/1PQB1PP1/3RR1K1 b - - 2 24",65
"3r2k1/pp1r1pp1/1q1bp2p/8/PBP5/5N1P/1PQ2PP1/3RR1K1 b - - 0 25",64
"3r2k1/pp1r1pp1/2n4p/1Q2Pq2/3p4/3R1PB1/PP4PP/3R2K1 b - - 0 27",91
"3r2k1/pp1r1ppp/2n5/1Q2Pq2/3p4/3R2B1/PP3PPP/3R2K1 b - - 4 26",89
"3r2k1/pp1r2p1/1q3nBp/1n3N2/3p4/bP1Q4/P1R2PPP/B3R1K1 w - - 4 28",228
"3r2k1/pp1r2p1/5nBp/1nq2N2/3p4/bP1Q4/P3RPPP/B3R1K1 w - - 6 29",255
"3r2k1/pp2R1p1/5nBp/1nr5/3p4/1P1Q2P1/P4P1P/B5K1 b - - 0 33",578
"3r2k1/pp2R1p1/5nBp/1nr5/3p4/1P1Q4/P4PPP/B5K1 w - - 1 33",403
"3r2k1/pp2b1p1/5nBp/1n1r4/3p4/1P1Q4/P4PPP/B3R1K1 w - - 0 32",427
"3r2k1/pp2n1pp/2q1Pp2/2p2P2/2P1Q3/2B5/P5PP/5RK1 w - - 3 33",189
"3r2k1/pp2n1pp/3qPp2/2p2P2/2P5/2B5/P3Q1PP/5RK1 w - - 5 34",142
"3r2k1/pp2q1p1/5nBp/1n1rR3/3p4/bP1Q4/P4PPP/B3R1K1 w - - 0 31",364
"3r2k1/pp2q1pp/1n2Pp2/2p2P2/5B2/2PQ4/P5PP/5RK1 w - - 1 29",132
"3r2k1/pp2q1pp/4Pp2/2pn1P2/4QB2/2P5/P5PP/5RK1 w - - 3 30",109
"3r2k1/pp3pp1/1q2pn1p/8/4P3/1P3NP1/P1Q2PKP/4R3 w - - 4 24",27
"3r2k1/pp3pp1/1q2pn1p/8/4P3/1P3NPP/P1Q2PK1/4R3 b - - 0 24",8
"3r2k1/pp3pp1/2p1n3/2q1n1p1/4P3/2N3PP/PPQ1BPK1/3R4 b - - 1 25",84
"3r2k1/pp3pp1/4bn1p/6B1/2P1p3/7P/PP2BPP1/R5K1 w - - 0 24",105
"3r2k1/pp3pp1/4pn1p/8/1q2P3/1P3NP1/P1Q2PKP/4R3 b - - 3 23",15
"3r2k1/pp3pp1/4pn1p/8/1q2P3/1P3NP1/P1Q2PKP/R7 w - - 2 23",10
"3r2k1/pp3pp1/4pn1p/8/4P3/qP3NP1/P1Q2PKP/R7 b - - 1 22",0
"3r2k1/pp3pp1/4pn1p/8/4P3/qP3NP1/P3QPKP/R7 w - - 0 22",3
"3r2k1/pp3ppp/4bn2/6B1/4p3/7P/PPP1BPP1/R5K1 w - - 0 23",97
"3r2k1/pp4b1/4Npp1/2P4p/5BnP/1PP5/5PP1/6K1 w - - 0 26",263
"3r2k1/pp4p1/5nBp/1nqrRN2/3p4/bP1Q4/P4PPP/B3R1K1 w - - 8 30",403
"3r2k1/pp5p/1q6/3PQ1p1/2b5/P7/1P4PP/3RR1K1 w - - 1 32",608
"3r2k1/pp5p/5p2/3Pn1p1/2b3q1/P1N1Q3/1P4PP/3RR1K1 w - - 4 29",407
"3r2k1/pp5p/5p2/3Pn1p1/6q1/P1NbQ3/1P4PP/R3R1K1 w - - 2 28",352
"3r2k1/pp5p/5p2/3Pnqp1/2b1N3/P3Q3/1P4PP/3RR1K1 w - - 6 30",465
"3r2k1/pp5p/5q2/3Pn1p1/2b5/P3Q3/1P4PP/3RR1K1 w - - 0 31",505
"3r2k1/ppn1R1p1/5nBp/2r5/3p4/1P1Q2P1/P4P1P/B5K1 w - - 1 34",601
"3r2k1/ppp1q1pp/4p3/nP2Pr2/4N1Q1/4R3/P4PPP/R5K1 w - - 5 19",68
"3r2k1/ppp1q1pp/4p3/nP2Pr2/4N1Q1/4R3/P4PPP/R5K1 w - - 9 21",103
"3r2k1/ppp1qrpp/4p3/nP2P3/6Q1/4R1N1/P4PPP/R5K1 w - - 11 22",121
"3r2k1/ppq1n1pp/4Pp2/2p2P2/2P1Q3/8/P2B2PP/5RK1 w - - 1 32",100
"3r2k1/ppq2pp1/4bn1p/8/1QPr4/3pR1PP/PP1N1PB1/4R1K1 w - - 2 26",13
"3r2k1/ppq2pp1/4bn1p/8/2Pr4/Q2pR1PP/PP1N1PB1/4R1K1 b - - 3 26",36
"3r2k1/ppq3pp/4Pp2/2pn1P2/4Q3/2P5/P2B2PP/5RK1 w - - 5 31",114
"3r2k1/ppqr1pp1/3bp2p/3n4/P1P5/1Q3N1P/1P1B1PP1/3RR1K1 b - - 0 23",56
"3r2k1/ppqr1pp1/4bn1p/8/1QP5/3pR1PP/PP1N1PB1/4R1K1 b - - 1 25",12
"3r2k1/ppqr1pp1/4bn1p/8/2P5/2QpR1PP/PP1N1PB1/4R1K1 w - - 0 25",1
"3r2k1/ppqr1ppp/4bn2/8/2P5/2QpR1PP/PP1N1PB1/4R1K1 b - - 6 24",7
"3r2k1/ppqr1ppp/4bn2/8/2P5/2QpR1PP/PP1N1PB1/5RK1 w - - 5 24",19
"3r2k1/pq3p1p/3pp1p1/2n5/2PQb2P/6P1/P3PPB1/3RN1K1 b - - 0 22",15
"3r2k1/pq3p1p/3pp1p1/2n5/2PQb3/6P1/P3PPBP/3RN1K1 w - - 6 22",25
"3r2k1/pq3p2/3pp1p1/2n4p/2PQB2P/6P1/P3PP2/3RN1K1 b - - 0 23",43
"3r2k1/pq3p2/3pp1p1/2n4p/2PQb2P/6P1/P3PPB1/3RN1K1 w - - 0 23",10
"3r2k1/pr3pbp/b5p1/2pNp3/q1P1P3/1nRN4/3B1PPP/3Q1RK1 w - - 8 24",58
"3r2k1/q4ppp/p1B2n2/8/2P3b1/1PN1p1P1/P6P/R3QRK1 b - - 0 23",239
"3r2k1/q4ppp/p1n2n2/8/2P3b1/1PN1p1P1/P5BP/R3QRK1 w - - 0 23",202
"3r2k1/r5pp/p4p2/2Np1b2/3P4/1R2R1P1/P4P1P/4K3 w - - 2 28",89
"3r2kr/1p1q1pp1/pn3bp1/3p4/3P1P1P/2NQ1BP1/PP6/1KRR4 w - - 5 28",145
"3r2kr/1p3p2/pn3pq1/3p4/3P1P2/3Q1BP1/PPR5/1K1R4 w - - 0 33",126
"3r2kr/1p3pp1/pn1q1bp1/3p4/3P1P1P/2N1QBP1/PP6/1KRR4 w - - 3 27",130
"3r2kr/1p3pp1/pn3bq1/3p4/3PNP2/3Q1BP1/PPR5/1K1R4 w - - 2 32",38
"3r2nk/p1q2p1p/4p1pP/2B1P3/4NQ2/2P5/Pn3PP1/3R2K1 w - - 1 29",396
"3r3Q/pp2kpp1/2b1p3/5P2/8/1P1B4/1PP3qP/1K5R w - - 2 26",114
"3r3b/1q3k2/3Bp2p/4PprP/P1p5/4Q3/2P2RP1/4R1K1 w - - 1 36",172
"3r3k/1bp2Qpp/1q3b2/3Bp3/4P3/2P5/5PPP/2B1R1K1 w - - 3 29",176
"3r3k/1p1r1pp1/p1n4p/2Q1Pq2/P2p4/3R1PB1/1P4PP/3R2K1 b - - 1 29",152
"3r3k/1p1rN3/p5Q1/4P3/2q5/7P/6PK/3R4 w - - 7 40",100000
"3r3k/1p1rN3/p6Q/4P3/2q5/7P/6PK/3R4 b - - 8 40",-100000
"3r3k/1p3pp1/pQn4p/3rPq2/P2p4/3R1PB1/1P4PP/3R2K1 b - - 3 30",103
"3r3k/1pp3pp/8/p7/3q4/1Q5P/PP3PP1/R5K1 w - - 2 25",98
"3r3k/1qp2Qpp/5b2/4p3/4P3/2P5/5PPP/2B1R1K1 w - - 0 30",171
"3r3k/2p1b1p1/7p/4p3/2q1P2P/2P3P1/2Q2P2/2B1R1K1 w - - 7 37",66
"3r3k/2p3p1/2q2b1p/4p3/4P2P/2P1B1P1/4QP2/4R1K1 w - - 3 35",126
"3r3k/2p3p1/3q1b1p/4p3/2Q1P3/2P1B1P1/5P1P/4R1K1 w - - 0 33",196
"3r3k/2p3p1/5b1p/4p3/2q1P2P/2P1B1P1/2Q2P2/4R1K1 w - - 5 36",109
"3r3k/2p3p1/7p/2b1p3/2q1P2P/2P3P1/2Q2PK1/2B1R3 w - - 9 38",108
"3r3k/2p3pp/1q3b2/4p3/2Q1P3/2P5/5PPP/2B1R1K1 w - - 2 31",185
"3r3k/2p3pp/3q1b2/4p3/2Q1P3/2P1B3/5PPP/4R1K1 w - - 4 32",193
"3r3k/2pq2p1/5b1p/4p3/2Q1P2P/2P1B1P1/5P2/4R1K1 w - - 1 34",145
"3r3k/p1n1R1p1/1pr2nBp/8/1P1p4/1Q4P1/PB3P1P/6K1 w - - 3 37",480
"3r3k/p3R1p1/1b1r1p1p/1p6/7P/PBBn1P2/1P3P2/3R1K2 w - - 1 39",56
"3r3k/p3R1p1/3r1p1p/1pb5/7P/1BBn1P2/PP3P2/3R1K2 w - - 0 38",13
"3r3k/pp1r1pp1/2n4p/1Q2Pq2/P2p4/3R1PB1/1P4PP/3R2K1 b - - 0 28",69
"3r3k/pp1r2p1/1b3p1p/5N2/4Rn1P/1BBn1P2/PP3P2/3R1K2 w - - 6 31",52
"3r3k/pp1r2p1/1b3p1p/5N2/B3Rn1P/2Bn1P2/PP3P2/3R1K2 b - - 7 31",7
"3r3k/pp4p1/1b3p1p/3r1N2/B3Rn1P/2Bn1P2/PP3P2/3R1K2 w - - 8 32",42
"3r3k/pp4p1/1b3p1p/3r4/B3R2P/2Bn1P2/PP3PK1/3R4 w - - 1 35",39
"3r3k/pp4p1/1b3p1p/3r4/B3Rn1P/2BnNP2/PP3P2/3R1K2 b - - 9 32",4
"3r3k/pp4p1/1b3p1p/7r/B3R2P/2Bn1P2/PP3Pn1/3R1K2 w - - 0 34",37
"3r3k/pp4p1/1b3p1p/7r/B3Rn1P/2BnNP2/PP3P2/3R1K2 w - - 10 33",32
"3r3k/pp4p1/3r1p1p/2b5/4R2P/1BBn1P2/PP3P2/3R1K2 w - - 5 37",60
"3r3k/pp4p1/5p1p/2br4/B3R2P/2Bn1P2/PP3P2/3R1K2 w - - 3 36",64
"3r3r/1p1q1ppk/pn3bp1/3p4/3P1P1P/2NQ1BP1/PPR5/1K1R4 w - - 7 29",189
"3r3r/1p2bk2/p1n1p3/2Pp1p1p/NP1P2p1/2B1P1P1/4NPKP/1R6 b - - 0 28",250
"3r3r/1p2bk2/p3p3/1nPp1p2/NP1P2pp/2N1P1P1/5PKP/R3B3 b - - 3 31",284
"3r3r/1p2bk2/p3p3/2Pp1p2/1P1P2pp/2N1P1P1/5PKP/R3B3 b - - 0 32",249
"3r3r/1p3ppk/pn3bp1/3p1q1P/3P1P2/2NQ1BP1/PPR5/1K1R4 w - - 1 30",175
"3r3r/1p3ppk/pn3bq1/3p4/3P1P2/2NQ1BP1/PPR5/1K1R4 w - - 0 31",177
"3r3r/np2bk2/p3p3/2Pp1p1p/NP1P2p1/4P1P1/4NPKP/1R2B3 b - - 2 29",250
"3r3r/np2bk2/p3p3/2Pp1p2/NP1P2pp/2N1P1P1/5PKP/1R2B3 b - - 1 30",233
"3r3r/p1k2p2/2p1p1p1/3nRb1p/N6P/5B2/PPPb1PP1/2KR4 w - - 0 18",43
"3r3r/p1k2p2/2p1p1p1/3npb1p/Nb5P/5B2/PPPB1PP1/2KRR3 w - - 6 17",17
"3r3r/p1k2p2/2p1p1p1/4Rb1p/Nn5P/5B2/PPPR1PP1/2K5 w - - 1 19",16
"3r3r/p1k2p2/2p1p1p1/R4b1p/Nn5P/5B2/PPPR1PP1/2K5 b - - 2 19",9
"3r3r/p1n1k3/1pn1ppp1/2p4p/2P2P2/P2P1NP1/2RBP1KP/5R2 w - - 4 22",66
"3r3r/p1qnkppp/1p1b4/1QpRp3/4P3/5NPB/PP3P1P/5RK1 w - - 6 20",115
"3r3r/p2qk1pp/Qp1b1p2/2pRp3/4P3/5NP1/PP3P1P/5RK1 w - - 0 22",98
"3r3r/p2qkppp/1p1b4/1QpRp3/4P3/5NP1/PP3P1P/5RK1 w - - 0 21",144
"3r3r/p2qkppp/Qp1b4/2pRp3/4P3/5NP1/PP3P1P/5RK1 b - - 1 21",15
"3r3r/p3k1n1/1p2ppp1/2p5/2Pn1PP1/P1BP1N2/2R1P1K1/5R2 w - - 1 26",180
"3r3r/p3k1n1/1p2ppp1/8/2Pp1PP1/P2P1N2/2R1P1K1/5R2 w - - 0 27",187
"3r3r/p3k1n1/1pn1ppp1/2p4p/2P2P2/P1BP1NPP/2R1P1K1/5R2 w - - 1 24",83
"3r3r/p3k1n1/1pn1ppp1/2p5/2P2Pp1/P1BP1N1P/2R1P1K1/5R2 w - - 0 25",97
"3r3r/p3k1n1/4ppp1/2p5/3p1PP1/P2P1N2/2R1P1K1/5R2 w - - 0 28",241
"3r3r/p3k1pp/Qpqb1p2/2pRp3/4P3/5NP1/PP3P1P/3R2K1 w - - 2 23",86
"3r4/1p1rN2k/p4Q2/4P3/2q5/7P/6PK/3R4 w - - 5 39",100000
"3r4/1p1rN2k/p5Q1/4P3/2q5/7P/6PK/3R4 b - - 6 39",-100000
"3r4/1p2Qpk1/1q4p1/pP5p/8/P4PP1/5PKP/2R5 w - - 2 27",360
"3r4/1p2bkp1/p1n1p3/3rp2p/P3N2P/4PPB1/1P2K1P1/2RR4 w - - 1 27",89
"3r4/1p3k2/2p3n1/5b1p/2PN1p2/pP2pPP1/P3B2P/3R3K b - - 3 37",216
"3r4/1p3k2/2p3n1/7p/2PN1p2/pP2pPP1/P3B2P/1R5K b - - 0 38",209
"3r4/1p3k2/pn3p2/3p3r/3P1P2/1P1Q2q1/P7/1K1R4 w - - 0 37",255
"3r4/1p3k2/pn3p2/3p4/3P1P2/1P1Q1Bq1/P6r/1K1R4 w - - 0 36",298
"3r4/1p3kp1/3P1p2/1N2BP2/2p1n3/2P5/2R4P/5K2 b - - 0 49",11
"3r4/1p3kp1/3P4/1N2pP2/2p1n3/2P5/4R2P/5K2 b - - 1 50",4
"3r4/1p3kp1/3n4/1N2RP2/2p5/2P5/7P/5K2 b - - 0 51",10
"3r4/1p3kp1/8/1R3P2/2p5/2P5/7P/5K2 b - - 0 52",9
"3r4/1p3kp1/p1n1p2p/3rp3/Pb2N3/4P1B1/1P2KPPP/2RR4 w - - 5 25",57
"3r4/1p3kp1/p1n1p3/3rp2p/Pb2N2P/4P1B1/1P2KPP1/2RR4 w - - 0 26",42
"3r4/1p6/p1p5/5pkp/2R5/1P4P1/1PP1K2P/8 w - - 0 43",4
"3r4/1p6/p1p5/5pkp/5R2/1P4P1/1PP1K2P/8 b - - 1 43",3
"3r4/1pB5/4p1p1/2K2k1p/2P1b2P/1P2R3/8/8 b - - 5 50",90
"3r4/1pR1Qpk1/5qp1/pP5p/8/P4PP1/5PKP/8 w - - 4 28",222
"3r4/1pp2q1k/p1p3p1/4p2p/5rP1/3PQ2P/PPP1RPK1/5R2 w - - 1 30",102
"3r4/1pp2q1k/p1p3p1/4pr1p/8/3PQ1PP/PPP1RPK1/5R2 w - - 8 29",141
"3r4/1pp4k/p1p2qp1/4pr1p/4Q3/3P2PP/PPP1RPK1/5R2 w - - 6 28",119
"3r4/1pp4k/p1pq2p1/4pr1p/4Q3/3P2PP/PPPR1PK1/5R2 w - - 4 27",91
"3r4/1pp4p/p7/5pk1/5R2/1P4P1/1PP1K2P/8 b - - 8 41",6
"3r4/1pp4p/p7/5pk1/5R2/1P4P1/1PPK3P/8 w - - 7 41",6
"3r4/1pp5/p7/5pkp/2R5/1P4P1/1PP1K2P/8 b - - 1 42",1
"3r4/1pp5/p7/5pkp/5R2/1P4P1/1PP1K2P/8 w - - 0 42",7
"3r4/2N3k1/8/5Brp/p1p2R2/PbK1P2P/1P6/8 b - - 3 53",146
